노선ID,노선명,노선이력ID,지역ID,노선유형,배차,첫차시간,막차시간,거리,요금,노선설명,운행여부,곡률도,일반첫차일시,당일막차일시,일반막차여부,막차차량ID,저상버스첫차일시,저상버스막차일시,저상버스막차여부,저상버스막차ID,노선약칭,운행종료시간,운행종료이용,사용여부,노선운행구분,최소배차,최대배차,최고속도,최저속도,평균속도,좌석표출여부,운행소요시간,종점대기시간,인가선수,예비차량건수,대표노선ID,도착정보생성유형(1:교차로/2:정류장),기점명(인가정보),종점명(인가정보),배차(토요일),배차(공휴일),첫차시간(토요일),첫차시간(공휴일),막차시간(토요일),막차시간(공휴일)
234000013,1007-1광주,523,234,8,60,0.050000,0.221000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601222000,,0,,,,0,1007-1,,0,1,11,30,90,0,0,0,0,0,0,0,0,0,2,영통차고지대기(경유),잠실역.롯데월드,45,45,0.050000,0.050000,0.222000,0.222000
234000029,96광주,523,234,8,90,0.0620,0.2220,0.0,0.0,정보없음,0,0.0,20160601052000,20160601232000,,0,,,,0,96,.,0,0,0,45,135,0,0,0,0,0,0,0,0,0,2,다산차고지,강변역B,15,15,0.0520,0.0520,0.2320,0.2320
222000045,112-1남양주,523,222,8,45,0.051000,0.223000,0.0,0.0,정보없음,1,0.0,20160601051000,20160601223000,,0,,,,0,112-1,,0,1,13,23,68,0,0,0,0,0,0,0,0,0,2,도곡리차고지대기(경유),테크노마트앞.강변역,17,17,0.051000,0.051000,0.223000,0.223000
207000034,5의정부,523,207,8,40,0.0440,0.2240,0.0,0.0,서울경유 X,0,0.0,20160601045000,20160601223000,,0,,,,0,5,.,0,0,0,20,60,0,0,0,0,0,0,0,0,0,1,홍죽리차고지,장암우성아파트.장암주공2단지,18,18,0.0450,0.0450,0.2230,0.2230
234000139,1550-3광주,523,234,8,60,0.0445,0.2250,0.0,0.0,정보없음,0,0.0,20160601044500,20160601225000,,0,,,,0,1550-3,,0,0,0,30,90,0,0,0,0,0,0,0,0,0,2,광교차고지,사당역,60,60,0.044500,0.044500,0.225000,0.225000
213000017,2광명,523,213,8,22,0.051000,0.225500,0.0,0.0,정보없음,1,0.0,20160601051000,20160601231000,,0,,,,0,2,,0,1,13,11,33,0,0,0,0,0,0,0,0,0,2,은계아란트리.한양수자인,안양역,15,15,0.051000,0.051000,0.231000,0.231000
207000048,12-3의정부,523,207,8,40,0.0500,0.2300,0.0,0.0,정보없음,0,0.0,20160601050000,20160601230000,,0,,,,0,12-3,.,0,0,0,20,60,0,0,0,0,0,0,0,0,0,2,민락동종점,노원역.롯데백화점,45,45,0.0500,0.0500,0.2300,0.2300
208000006,11-3안양,523,208,8,17,0.0455,0.2230,0.0,0.0,정보없음,1,0.0,20160601045500,20160601223000,,0,,,,0,11-3,..,0,1,0,9,26,0,0,0,0,0,0,0,0,0,2,창박골,잠실종합운동장,10,10,0.0455,0.0455,0.2230,0.2230
208000007,1안양,523,208,8,35,0.045000,0.224000,0.0,0.0,정보없음,1,0.0,20160601054000,20160601223000,,0,,,,0,1,,0,1,13,18,53,0,0,0,0,0,0,0,0,0,2,평촌차고지,구로디지털단지역,15,15,0.054000,0.054000,0.223000,0.223000
222000009,9남양주,523,222,8,30,0.043000,0.234000,0.0,0.0,정보없음,1,0.0,20160601043000,20160601234000,,0,,20160215000000,,0,9,,0,1,13,15,45,0,0,0,0,0,0,0,0,0,2,진벌리차고지(경유),강변역B,12,12,0.043000,0.043000,0.234000,0.234000
207000009,1-1의정부,523,207,8,20,0.041000,0.225000,0.0,0.0,정보없음,1,0.0,20160601043500,20160601225000,,0,,,,0,1-1,,0,1,13,10,30,0,0,0,0,0,0,0,0,0,2,낙양동공영차고지,강변역B,9,9,0.043500,0.043500,0.225000,0.225000
200000149,7790수원,523,200,8,30,0.050000,0.233000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601235000,,0,20190923000000,,,0,7790,.,0,1,11,15,45,0,0,0,0,0,0,0,0,0,2,협성대정문,사당역,30,30,0.0500,0.0500,0.2350,0.2350
229000102,M7111파주,523,229,8,40,0.0530,0.2350,0.0,0.0,정보없음,0,0.0,20160601060000,20160601235000,,0,,,,0,M7111,.,0,0,0,20,60,0,0,0,0,0,0,0,0,0,2,교하차고지(경유),숭례문,15,15,0.0600,0.0600,0.2350,0.2350
234000884,1560A용인,523,234,8,25,0.0500,0.1120,0.0,0.0,정보없음,1,0.0,20160601053000,20160601230000,,0,20240629000000,20240629000000,,0,1560A,..,0,1,0,13,38,0,0,0,0,0,0,0,0,0,2,경희대차고지(경유),신분당선강남역,25,25,0.0530,0.0530,0.2300,0.2300
222000088,8001남양주,523,222,8,150,0.050000,0.224000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601224000,,0,,,,0,8001,.,0,1,11,75,225,0,0,0,0,0,0,0,0,0,2,대성리,신사역3번출구,90,90,0.0500,0.0500,0.2240,0.2240
219000006,1082고양,523,219,8,14,0.050000,0.223000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601223000,,0,,,,0,1082,,0,1,11,7,21,0,0,0,0,0,0,0,0,0,2,명성운수종점,CM충무병원,6,6,0.050000,0.050000,0.223000,0.223000
234001160,1553광주,523,234,8,80,0.0520,0.2220,0.0,0.0,정보없음,0,0.0,20160601052000,20160601222000,,0,,,,0,1553,,0,0,0,40,120,0,0,0,0,0,0,0,0,0,2,한신대스쿨버스정류장,사당역,60,60,0.0520,0.0520,0.2220,0.2220
216000044,M6410안산,523,216,8,40,0.055000,0.233000,0.0,0.0,정보없음,1,0.0,20160601055000,20160601233000,,0,,,,0,M6410,,0,1,14,20,60,0,0,0,0,0,0,0,0,0,2,사리울중학교,강남역서초현대타워앞,25,25,0.055000,0.055000,0.233000,0.233000
234000314,6004광주,523,234,8,40,0.051000,0.225000,0.0,0.0,정보없음,1,0.0,20160601050000,20160601224000,,0,,,,0,6004,0.,0,1,11,20,60,0,0,0,0,0,0,0,0,0,1,동탄국제고등학교,신분당선강남역,30,30,0.0500,0.0500,0.2240,0.2240
222000122,2000-1남양주,523,222,8,0,0.062200,0.064200,0.0,0.0,정보없음,1,0.0,20160601063000,20160601064500,,0,,,,0,2000-1,,0,1,11,0,0,0,0,0,0,0,0,0,0,0,2,진벌리차고지(경유),강남역.강남역사거리,10,10,0.063000,0.063000,0.064500,0.064500
232000075,M6427김포,523,232,8,55,0.043000,0.224000,0.0,0.0,정보없음,1,0.0,20160601045000,20160601232000,,0,,,,0,M6427,.,0,1,14,28,83,0,0,0,0,0,0,0,0,0,2,양곡터미널,강남역서초현대타워앞,45,45,0.0450,0.0450,0.2320,0.2320
239000111,1330-4가평,523,239,8,0,0.044500,1.000000,0.0,0.0,정보없음,1,0.0,20160601044500,20160601233500,,0,,,,0,1330-4,,0,1,21,0,0,0,0,0,0,0,0,0,0,0,2,현리터미널,현대코아,10,10,0.044500,0.044500,0.233500,0.233500
210000075,98부천,523,210,8,15,0.045000,0.223000,0.0,0.0,정보없음,1,0.0,20160601043500,20160601232500,,0,,,,0,98,,0,1,13,8,23,0,0,0,0,0,0,0,0,0,2,오정물류단지.충전소,목운초등학교.목운중학교,15,15,0.043500,0.043500,0.232500,0.232500
232000047,8600김포,523,232,8,45,0.042000,0.230000,0.0,0.0,정보없음,1,0.0,20160601042000,20160601233000,,0,,20160203000000,,0,8600,,0,1,11,23,68,0,0,0,0,0,0,0,0,0,2,고다니8단지,시청.서소문청사,25,25,0.042000,0.042000,0.233000,0.233000
234000011,1113-1광주,523,234,8,15,0.042500,1.000000,0.0,0.0,정보없음,1,0.0,20160601043000,20160601000000,,0,,,,0,1113-1,,0,1,11,8,23,0,0,0,0,0,0,0,0,0,2,동원대학교,테크노마트앞.강변역,20,20,0.043000,0.043000,1.0000,1.0000
200000145,3002수원,523,200,8,40,0.052500,0.233000,0.0,0.0,정보없음,1,0.0,20160601052500,20160601233000,,0,,,,0,3002,,0,1,11,20,60,0,0,0,0,0,0,0,0,0,2,수원남부버스공영차고지,강남역나라빌딩앞,40,40,0.052500,0.052500,0.233000,0.233000
236000190,3600포천,523,236,8,40,0.043000,1.000000,0.0,0.0,정보없음,1,0.0,20160601045000,20160601012000,,0,,,,0,3600,,0,1,11,20,60,0,0,0,0,0,0,0,0,0,2,차고지대기(경유),강남역12번출구A,60,60,0.045000,0.045000,1.012000,1.012000
210000003,50-1부천,523,210,8,22,0.045000,0.224200,0.0,0.0,정보없음,1,0.0,20160601045000,20160601235900,,0,,,,0,50-1,0.2235,0,1,13,11,33,0,0,0,0,0,0,0,0,0,1,고강공영차고지,포도마을사거리.현대백화점.이마,10,10,0.0450,0.0450,0.2242,0.2242
232000019,9-1김포,1,523,8,60,0.0510,0.2200,0.0,0.0,,0,0.0,20160601051000,20160601220000,,0,,,,0,9-1,,0,0,0,30,90,0,0,0,0,0,0,0,0,0,2,,,60,60,0.0510,0.0510,0.2200,0.2200
